,SiteName2.x,CoreName_2,compaction factor,
5,Boundary Bay,BC-BOB-3-SG-3,,
6,Boundary Bay,BC-BOB-4-SG-4,,
12,Cates Park,BC-CAP-1-SG-1,,
13,Centennial Beach,BC-CEB-1-SG-1,,
14,Centennial Beach,BC-CEB-2-BA-2,,
15,Crescent Beach,BC-CRB-1-SG-1,,
16,Crescent Beach,BC-CRB-2-BA-2,,
17,Fulmore,BC-FUL-2-SG-2,,
18,Fulmore,BC-FUL-4-SG-4,,
19,Fulmore,BC-FUL-5-BA-5,,
23,Parksville,BC-PAR-1-SG-1,,
24,Parksville,BC-PAR-2-SG-2,,
25,Parksville,BC-PAR-3-SG-3,,
26,Parksville,BC-PAR-4-BA-4,,
27,Parksville,BC-PAR-5-BA-5,,
123,Robert's Bank North,BC-RBN-1-BA-1,,
124,Robert's Bank North,BC-RBN-2-BA-2,,
125,Robert's Bank North,BC-RBN-3-BA-3,,
141,Sandy Island,BC-SIE-1-SG-1,,
142,Sandy Island,BC-SIE-3-SG-3,,
143,Sandy Island,BC-SIE-4-BA-4,,
144,Sandy Island,BC-SIE-5-BA-5,,
145,Sooke,BC-SOO-1-SG-1,,
146,Sooke,BC-SOO-2-SG-2,,
147,Sooke,BC-SOO-3-SG-3,,
148,Sooke,BC-SOO-4-SG-4,,
149,Sooke,BC-SOO-5-SG-5,,
150,Sooke,BC-SOO-7-BA-7,,
151,TFN Intercauseway,BC-TFN-1-SG-1,,
152,TFN Intercauseway,BC-TFN-2-SG-2,,
153,TFN Intercauseway,BC-TFN-3-SG-3,,
154,TFN Intercauseway,BC-TFN-4-BA-4,,
155,TFN Intercauseway,BC-TFN-5-BA-5,,
199,Tsawwassen,BC-TSW-1-SG-1,,
200,Tsawwassen,BC-TSW-2-SG-2,,
201,Tsawwassen,BC-TSW-3-SG-3,,
202,Tsawwassen,BC-TSW-4-BA-4,,
203,Tsawwassen,BC-TSW-5-BA-5,,
204,Tsawwassen,BC-TSW-7-BA-7,,
20,Mason's Island Shallow,NS-MAs-3-SG-3,,
21,Mason's Island Shallow,NS-MAs-4-BA-4,,
22,Mason's Island Shallow,NS-MAs-5-BA-5,,
28,Port Joli,NS-PJO-1-SG-1-0-2,,
29,Port Joli,NS-PJO-1-SG-1-10.1-15,,
30,Port Joli,NS-PJO-1-SG-1-15.1-20,,
31,Port Joli,NS-PJO-1-SG-1-2.1-5,,
32,Port Joli,NS-PJO-1-SG-1-20.1-25,,
33,Port Joli,NS-PJO-1-SG-1-25.1-30,,
34,Port Joli,NS-PJO-1-SG-1-30.1-35,,
35,Port Joli,NS-PJO-1-SG-1-35.1-38,,
36,Port Joli,NS-PJO-1-SG-1-38.1-43,,
37,Port Joli,NS-PJO-1-SG-1-5.1-10,,
38,Port Joli,NS-PJO-2-SG-2-0-2,,
39,Port Joli,NS-PJO-2-SG-2-10.1-15,,
40,Port Joli,NS-PJO-2-SG-2-15.1-20,,
41,Port Joli,NS-PJO-2-SG-2-2.1-5,,
42,Port Joli,NS-PJO-2-SG-2-20.1-25,,
43,Port Joli,NS-PJO-2-SG-2-25.1-30,,
44,Port Joli,NS-PJO-2-SG-2-30.1-35,,
45,Port Joli,NS-PJO-2-SG-2-35.1-40,,
46,Port Joli,NS-PJO-2-SG-2-40.1-45,,
47,Port Joli,NS-PJO-2-SG-2-45.1-52,,
48,Port Joli,NS-PJO-2-SG-2-5.1-10,,
49,Port Joli,NS-PJO-3-SG-3-0-2,,
50,Port Joli,NS-PJO-3-SG-3-10.1-15,,
51,Port Joli,NS-PJO-3-SG-3-15.1-20,,
52,Port Joli,NS-PJO-3-SG-3-2.1-5,,
53,Port Joli,NS-PJO-3-SG-3-20.1-25,,
54,Port Joli,NS-PJO-3-SG-3-25.1-30,,
55,Port Joli,NS-PJO-3-SG-3-30.1-35,,
56,Port Joli,NS-PJO-3-SG-3-35.1-39,,
57,Port Joli,NS-PJO-3-SG-3-39.1-44,,
58,Port Joli,NS-PJO-3-SG-3-5.1-10,,
59,Port Joli,NS-PJO-4-BA-4-0-2,,
60,Port Joli,NS-PJO-4-BA-4-10.1-15,,
61,Port Joli,NS-PJO-4-BA-4-15.1-20,,
62,Port Joli,NS-PJO-4-BA-4-20.1-25,,
63,Port Joli,NS-PJO-4-BA-4-25.1-30,,
64,Port Joli,NS-PJO-4-BA-4-30.1-35,,
65,Port Joli,NS-PJO-4-BA-4-35.1-40,,
66,Port Joli,NS-PJO-4-BA-4-40.1-45,,
67,Port Joli,NS-PJO-4-BA-4-45.1-49,,
68,Port Joli,NS-PJO-4-BA-4-49.1-52,,
69,Port Joli,NS-PJO-4-BA-4-5.1-10,,
70,Port Joli,NS-PJO-5-BA-5-0-2,,
71,Port Joli,NS-PJO-5-BA-5-10.1-15,,
72,Port Joli,NS-PJO-5-BA-5-15.1-20,,
73,Port Joli,NS-PJO-5-BA-5-20.1-25,,
74,Port Joli,NS-PJO-5-BA-5-25.1-30,,
75,Port Joli,NS-PJO-5-BA-5-30.1-35,,
76,Port Joli,NS-PJO-5-BA-5-35.1-40,,
77,Port Joli,NS-PJO-5-BA-5-40.1-45,,
78,Port Joli,NS-PJO-5-BA-5-45.1-48,,
79,Port Joli,NS-PJO-5-BA-5-48.1-52,,
80,Port l'Hebert,NS-PLH-1-SG-1-0-2,,
81,Port l'Hebert,NS-PLH-1-SG-1-10.1-20,,
82,Port l'Hebert,NS-PLH-1-SG-1-2.1-5,,
83,Port l'Hebert,NS-PLH-1-SG-1-20.1-25,,
84,Port l'Hebert,NS-PLH-1-SG-1-25.1-30,,
85,Port l'Hebert,NS-PLH-1-SG-1-30.1-35,,
86,Port l'Hebert,NS-PLH-1-SG-1-35.1-40,,
87,Port l'Hebert,NS-PLH-1-SG-1-40.1-42,,
88,Port l'Hebert,NS-PLH-1-SG-1-5.1-10,,
89,Port l'Hebert,NS-PLH-2-SG-2-0-2,,
90,Port l'Hebert,NS-PLH-2-SG-2-10.1-15,,
91,Port l'Hebert,NS-PLH-2-SG-2-15.1-20,,
92,Port l'Hebert,NS-PLH-2-SG-2-2.1-5,,
93,Port l'Hebert,NS-PLH-2-SG-2-20.1-25,,
94,Port l'Hebert,NS-PLH-2-SG-2-25.1-30,,
95,Port l'Hebert,NS-PLH-2-SG-2-30.1-35,,
96,Port l'Hebert,NS-PLH-2-SG-2-35.1-40,,
97,Port l'Hebert,NS-PLH-2-SG-2-40.1-45,,
98,Port l'Hebert,NS-PLH-2-SG-2-45.1-50,,
99,Port l'Hebert,NS-PLH-2-SG-2-5.1-10,,
