,X,X.x,Site,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Core.Number,Type,Coast,Percent.Silt.Fraction,SiteName2.x,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,SiteCode,Watercourse_NEAR_DIST.x,REI_SUM,X.y,REI_Scaled,Elevation,Watercourse_NEAR_DIST.y,REI_Raw
1,1,1,Annandale,PEI-ANN-1-BA-,0,2,0,3,0.994695136,3,PEI,Gulf of St Lawrence,0.212,Christensen,95.7,0,1,BA,Gulf of St.Lawrence,4.3,Annandale,1.5,5,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
2,2,2,Annandale,PEI-ANN-1-BA-,10,20,15.1,30.2,1.001016563,15.1,PEI,Gulf of St Lawrence,0.14,Christensen,95.6,0,1,BA,Gulf of St.Lawrence,4.4,Annandale,22.65,25,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
3,3,3,Annandale,PEI-ANN-1-BA-,2,5,3,7.5,0.991596397,4.5,PEI,Gulf of St Lawrence,0.193,Christensen,95.8,0,1,BA,Gulf of St.Lawrence,4.2,Annandale,5.25,10,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
4,4,4,Annandale,PEI-ANN-1-BA-,20,30,30.2,45.3,0.732913687,15.1,PEI,Gulf of St Lawrence,0.313,Christensen,87.4,0,1,BA,Gulf of St.Lawrence,12.5,Annandale,37.75,40,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
5,5,5,Annandale,PEI-ANN-1-BA-,30,36.3,45.3,54.8,1.196408272,9.5,PEI,Gulf of St Lawrence,0.589,Christensen,82.3,0,1,BA,Gulf of St.Lawrence,17.7,Annandale,50.05,55,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
6,6,6,Annandale,PEI-ANN-1-BA-,5,10,7.5,15.1,0.834428368,7.6,PEI,Gulf of St Lawrence,0.129,Christensen,97.1,0,1,BA,Gulf of St.Lawrence,3,Annandale,11.3,15,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
7,7,7,Annandale,PEI-ANN-2-BA-,0,2,0,3.2,1.051715153,3.2,PEI,Gulf of St Lawrence,0.219,Christensen,96.6,0,2,BA,Gulf of St.Lawrence,3.5,Annandale,1.6,5,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
8,8,8,Annandale,PEI-ANN-2-BA-,10,20,16.1,32.2,0.738638358,16.1,PEI,Gulf of St Lawrence,0.177,Christensen,96.1,0,2,BA,Gulf of St.Lawrence,4,Annandale,24.15,25,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
9,9,9,Annandale,PEI-ANN-2-BA-,2,5,3.2,8.1,0.602472588,4.9,PEI,Gulf of St Lawrence,0.175,Christensen,96.2,0,2,BA,Gulf of St.Lawrence,3.9,Annandale,5.65,10,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
10,10,10,Annandale,PEI-ANN-2-BA-,20,32.5,32.2,52.4,0.970363942,20.2,PEI,Gulf of St Lawrence,0.291,Christensen,90,0,2,BA,Gulf of St.Lawrence,9.9,Annandale,42.3,45,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
11,11,11,Annandale,PEI-ANN-2-BA-,5,10,8.1,16.1,1.188925674,8,PEI,Gulf of St Lawrence,0.116,Christensen,96.7,0,2,BA,Gulf of St.Lawrence,3.4,Annandale,12.1,15,ANN,89030.64851,1.02925e+49,2,0.027056911,-2,89030.64851,1656.040646
