"","X.1","X","X.x","Site","CoreName_2","Extracted_IntervalStart_Depth_cm","Extracted_IntervalEnd_Depth_cm","Corrected_DBD_g_cm3","Corrected_Sample_Thickness_cm","Province","Region","OC_Per","Study","Percent.Sand.Fraction","Percent.Gravel.Fraction","Core.Number","Type","Coast","Percent.Silt.Fraction","SiteName2.x","Corrected_Midpoint_cm","SiteCode","Watercourse_NEAR_DIST.x","REI_SUM","REI_Scaled","REI_Raw","c_dens","estCfactorS","meanCF","sdCF","conversion","consistent.with.Matts.data","CF_final","corr_SD","corr_ED","corr_thickness","corr_segment_midpoint"
"1",1,1,1,"Annandale","PEI-ANN-1-BA-",0,2,0.994695136,3,"PEI","Gulf of St Lawrence",0.212,"Christensen",95.7,0,1,"BA","Gulf of St.Lawrence",4.3,"Annandale",1.5,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00210875368832,0,"0.66401766004415",0.00241820113688835,"Missing",NA,0.66401766004415,0,1.3280353200883,1.3280353200883,0.66401766004415
"2",2,2,2,"Annandale","PEI-ANN-1-BA-",10,20,1.001016563,15.1,"PEI","Gulf of St Lawrence",0.14,"Christensen",95.6,0,1,"BA","Gulf of St.Lawrence",4.4,"Annandale",22.65,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.0014014231882,0.662251655629139,"0.66401766004415",0.00241820113688835,"Missing",NA,0.66401766004415,6.6401766004415,13.280353200883,6.6401766004415,9.96026490066225
"3",3,3,3,"Annandale","PEI-ANN-1-BA-",2,5,0.991596397,4.5,"PEI","Gulf of St Lawrence",0.193,"Christensen",95.8,0,1,"BA","Gulf of St.Lawrence",4.2,"Annandale",5.25,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00191378104621,0.666666666666667,"0.66401766004415",0.00241820113688835,"Missing",NA,0.66401766004415,1.3280353200883,3.32008830022075,1.99205298013245,2.32406181015452
"4",4,4,4,"Annandale","PEI-ANN-1-BA-",20,30,0.732913687,15.1,"PEI","Gulf of St Lawrence",0.313,"Christensen",87.4,0,1,"BA","Gulf of St.Lawrence",12.5,"Annandale",37.75,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00229401984031,0.662251655629139,"0.66401766004415",0.00241820113688835,"Missing",NA,0.66401766004415,13.280353200883,19.9205298013245,6.6401766004415,16.6004415011037
"5",5,5,5,"Annandale","PEI-ANN-1-BA-",30,36.3,1.196408272,9.5,"PEI","Gulf of St Lawrence",0.589,"Christensen",82.3,0,1,"BA","Gulf of St.Lawrence",17.7,"Annandale",50.05,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00704684472208,0.662251655629139,"0.66401766004415",0.00241820113688835,"Missing",NA,0.66401766004415,19.9205298013245,24.1038410596026,4.18331125827815,22.0121854304636
"6",6,6,6,"Annandale","PEI-ANN-1-BA-",5,10,0.834428368,7.6,"PEI","Gulf of St Lawrence",0.129,"Christensen",97.1,0,1,"BA","Gulf of St.Lawrence",3,"Annandale",11.3,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00107641259472,0.666666666666667,"0.66401766004415",0.00241820113688835,"Missing",NA,0.66401766004415,3.32008830022075,6.6401766004415,3.32008830022075,4.98013245033112
"7",7,7,7,"Annandale","PEI-ANN-2-BA-",0,2,1.051715153,3.2,"PEI","Gulf of St Lawrence",0.219,"Christensen",96.6,0,2,"BA","Gulf of St.Lawrence",3.5,"Annandale",1.6,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00230325618507,0,"0.621129993865501",0.00315009435087135,"Missing",NA,0.621129993865501,0,1.242259987731,1.242259987731,0.621129993865501
"8",8,8,8,"Annandale","PEI-ANN-2-BA-",10,20,0.738638358,16.1,"PEI","Gulf of St Lawrence",0.177,"Christensen",96.1,0,2,"BA","Gulf of St.Lawrence",4,"Annandale",24.15,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00130738989366,0.62111801242236,"0.621129993865501",0.00315009435087135,"Missing",NA,0.621129993865501,6.21129993865501,12.42259987731,6.21129993865501,9.31694990798252
"9",9,9,9,"Annandale","PEI-ANN-2-BA-",2,5,0.602472588,4.9,"PEI","Gulf of St Lawrence",0.175,"Christensen",96.2,0,2,"BA","Gulf of St.Lawrence",3.9,"Annandale",5.65,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.001054327029,0.625,"0.621129993865501",0.00315009435087135,"Missing",NA,0.621129993865501,1.242259987731,3.10564996932751,1.8633899815965,2.17395497852925
"10",10,10,10,"Annandale","PEI-ANN-2-BA-",20,32.5,0.970363942,20.2,"PEI","Gulf of St Lawrence",0.291,"Christensen",90,0,2,"BA","Gulf of St.Lawrence",9.9,"Annandale",42.3,"ANN",89030.64851,1.02925e+49,0.027056911,1656.040646,0.00282375907122,0.62111801242236,"0.621129993865501",0.00315009435087135,"Missing",NA,0.621129993865501,12.42259987731,20.1867248006288,7.76412492331876,16.3046623389694
