,SiteName2,SampleName,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,Site,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Percent.Silt.Fraction,Core.Number,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,Prov,SiteCode,Watercourse_NEAR_FID,Watercourse_NEAR_DIST,Elevation,REI,LOI_Percent,Coast,Type
1,Airpark,BC-BOB-3-SG-3-0-2,BC-BOB-3-SG-3,0,2,0,3.2,1.383308139,3.2,BC,Lower Mainland,Boundary Bay,0.472,Christensen,93.3,0,6.6,3,1.6,5,BC ,BOB,1935,11002.10462,-26,10488.30575,1.438578934,Pacific,Seagrass
2,Airpark,BC-BOB-3-SG-3-10-20,BC-BOB-3-SG-3,10,20,16.2,32.5,1.247245043,16.3,BC,Lower Mainland,Boundary Bay,0.26,Christensen,96.5,0,3.5,3,24.35,25,BC ,BOB,1935,11002.10462,-26,10488.30575,1.095890411,Pacific,Seagrass
3,Airpark,BC-BOB-3-SG-3-2-5,BC-BOB-3-SG-3,2,5,3.2,8.1,1.206306263,4.9,BC,Lower Mainland,Boundary Bay,0.494,Christensen,93.7,0,6.4,3,5.65,10,BC ,BOB,1935,11002.10462,-26,10488.30575,1.550775388,Pacific,Seagrass
4,Airpark,BC-BOB-3-SG-3-20-30.5,BC-BOB-3-SG-3,20,30.5,32.5,49.5,1.480814493,17,BC,Lower Mainland,Boundary Bay,0.21,Christensen,97.5,0,2.5,3,41,45,BC ,BOB,1935,11002.10462,-26,10488.30575,1.0375,Pacific,Seagrass
5,Airpark,BC-BOB-3-SG-3-5-10,BC-BOB-3-SG-3,5,10,8.1,6.2,1.18780362,-1.9,BC,Lower Mainland,Boundary Bay,0.342,Christensen,97,0,3,3,7.15,10,BC ,BOB,1935,11002.10462,-26,10488.30575,1.220575414,Pacific,Seagrass
6,Airpark,BC-BOB-4-SG-4-0-2,BC-BOB-4-SG-4,0,2,0,2.2,1.164336073,2.2,BC,Lower Mainland,Boundary Bay,0.425,Christensen,94.4,0,5.6,4,1.1,5,BC ,BOB,1935,11002.10462,-26,10488.30575,1.547871676,Pacific,Seagrass
7,Airpark,BC-BOB-4-SG-4-10-20,BC-BOB-4-SG-4,10,20,10.8,21.5,0.732440857,10.7,BC,Lower Mainland,Boundary Bay,0.225,Christensen,97,0,3,4,16.15,20,BC ,BOB,1935,11002.10462,-26,10488.30575,2.186406797,Pacific,Seagrass
8,Airpark,BC-BOB-4-SG-4-2-5,BC-BOB-4-SG-4,2,5,2.2,5.4,0.592982304,3.2,BC,Lower Mainland,Boundary Bay,0.339,Christensen,95.6,0,4.5,4,3.8,5,BC ,BOB,1935,11002.10462,-26,10488.30575,1.370545726,Pacific,Seagrass
9,Airpark,BC-BOB-4-SG-4-20-30,BC-BOB-4-SG-4,20,30,21.5,32.3,0.971264118,10.8,BC,Lower Mainland,Boundary Bay,0.24,Christensen,95.6,0,4.5,4,26.9,30,BC ,BOB,1935,11002.10462,-26,10488.30575,1.23685838,Pacific,Seagrass
10,Airpark,BC-BOB-4-SG-4-30-39.9,BC-BOB-4-SG-4,30,39.9,32.3,42.9,0.783869166,10.6,BC,Lower Mainland,Boundary Bay,0.199,Christensen,97.2,0,2.8,4,37.6,40,BC ,BOB,1935,11002.10462,-26,10488.30575,1.843317972,Pacific,Seagrass
