"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_30","c_60_cm2","c_100_cm2","c_30_cm2","c_60_m2","c_100_m2","c_30_m2"
"1","Airpark","BC-BOB-3-SG-3",0.20419997,"SG",11002.10462,"Pacific",3.0315571109348,2.58329591350734,1.7686030777898,0.145015457885478,0.170178971851239,0.0992820001000728,1450.15457885478,1701.78971851239,992.820001000728
"2","Airpark","BC-BOB-4-SG-4",0.20419997,"SG",11002.10462,"Pacific",2.73777734619889,2.07399254780078,1.25662602474841,0.116425291194014,0.153687401188386,0.0705417437533451,1164.25291194014,1536.87401188386,705.417437533451
"3","Annandale","PEI-ANN-1-BA-",0.027056911,"BA",89030.64851,"Gulf of St.Lawrence",4.21683900003491,2.44219396898765,1.18944678399453,0.137094583243876,0.23671575339937,0.0667705813760952,1370.94583243876,2367.1575339937,667.705813760952
"4","Annandale","PEI-ANN-2-BA-",0.027056911,"BA",89030.64851,"Gulf of St.Lawrence",3.32390481336023,1.93792676429279,0.948496768435207,0.108787125626227,0.186590152508987,0.0532446524838034,1087.87125626227,1865.90152508987,532.446524838034
"5","Annandale","PEI-ANN-3-SG-",0.027056911,"SG",89030.64851,"Gulf of St.Lawrence",3.80675548158136,2.52963886037066,1.36911191809096,0.142003374721209,0.213695375095481,0.0768562326368816,1420.03374721209,2136.95375095481,768.562326368816
"6","Annandale","PEI-ANN-5-SG-",0.027056911,"SG",89030.64851,"Gulf of St.Lawrence",3.68374253215797,2.3716023190783,1.25165107956395,0.133131862449495,0.206789941190986,0.0702624710807461,1331.31862449495,2067.89941190986,702.624710807461
"7","Cardigan","PEI-CAR-1-BA-",0.027515053,"BA",81385.10969,"Gulf of St.Lawrence",1.00545339031771,0.983272215515032,0.851339705284502,0.05519680103755,0.0564419596752535,0.047790660192042,551.9680103755,564.419596752535,477.90660192042
"8","Cardigan","PEI-CAR-2-BA-",0.027515053,"BA",81385.10969,"Gulf of St.Lawrence",0.792582364819805,0.754024904116086,0.609131721734195,0.0423278131458776,0.0444922681700252,0.0341941142236096,423.278131458776,444.922681700252,341.941142236096
"9","Cardigan","PEI-CAR-3-SG-",0.027515053,"SG",81385.10969,"Gulf of St.Lawrence",0.847082366280342,0.821441158962098,0.694072722024197,0.0461122805056951,0.0475516709373329,0.0389623476984891,461.122805056951,475.516709373329,389.623476984891
"10","Cardigan","PEI-CAR-4-SG-",0.027515053,"SG",81385.10969,"Gulf of St.Lawrence",1.16707335272065,1.14528921001399,1.00299448585914,0.0642917593501641,0.065514630261983,0.0563039270348224,642.917593501641,655.14630261983,563.039270348224
"11","Cardigan","PEI-CAR-5-SG-",0.027515053,"SG",81385.10969,"Gulf of St.Lawrence",1.15605369231097,1.13800359493415,1.007818859813,0.063882775307238,0.0648960324886129,0.0565747472665549,638.82775307238,648.960324886129,565.747472665549
